Country or region,Avg. Rank,Avg. Happiness,Avg. GDP,Avg. Family,Avg. Health,Avg. Freedom,Avg. Generosity,Avg. Corruption
Russia,59.2,5.798599964141846,1.197139619430542,1.337812477737426,0.6263038667526246,0.36007862231445326,0.04572276448130608,0.030974576205730436
Jamaica,65.2,5.661999974060058,0.8558578618927001,1.2907916128616344,0.6894244768333436,0.49593944781112675,0.1743136674642562,0.03603955620384216
Northern Cyprus,62.2,5.765799988555909,1.27167626222992,1.1075286754302978,0.9101254476509094,0.4618867250404358,0.232351140625,0.15598667048549658
Cyprus,62.2,5.732799962615966,1.2749276153945919,1.0291026545333861,0.913614940235138,0.37718030787277224,0.24973886021423336,0.04619559528040886
Algeria,66.2,5.667600043487548,1.012962893333436,1.07420549308014,0.6650569291496277,0.17843716158390038,0.06921932939958572,0.14609922206878662
Kosovo,67.2,5.606199961090089,0.8782828764305114,1.014490700645446,0.609754410041809,0.31774758810043335,0.28379028950119023,0.03987032361125946
Turkmenistan,69.8,5.582200005340576,1.047483352592468,1.365799832267762,0.5181292160835266,0.41589038580513,0.21767699751091,0.1834760680408478
Mauritius,62.6,5.7066000373840335,1.11014510938263,1.148144198066712,0.6982794924049378,0.519071465227127,0.31357675017356884,0.05588431103634833
Hong Kong,74.0,5.452800024414062,1.458282968566894,1.151636183670044,1.0122224849319459,0.5063677289237976,0.3348431586742402,0.3119287498397828
Estonia,65.8,5.637800012207032,1.2378518680343622,1.363242219932556,0.7521516632728577,0.47822428607749934,0.09178416224098204,0.1710557844457626
Indonesia,84.4,5.2520000167846685,0.9209697184677124,1.131154939857482,0.5612031441059113,0.4661606926403046,0.5348529175872802,0.01290742709809542
Vietnam,90.8,5.154599976348876,0.723415515094757,1.138384266220092,0.7226997978363039,0.577207118221283,0.19566361026287077,0.09192064744853974
Turkey,75.2,5.4154,1.151034874801636,1.18024863533783,0.7021011215019225,0.25735611992645263,0.08105860838413238,0.11912231597948073
Kyrgyzstan,87.6,5.173400037384034,0.5423880152168274,1.27074571823883,0.6151655593147277,0.4679666777400969,0.338840074705124,0.03747583580064774
Nigeria,90.4,5.127399976348877,0.7150532512207033,1.009614096603394,0.11221314604759217,0.380966513086319,0.2302934392967224,0.03398431321442128
Bhutan,90.4,5.124800031280518,0.8235072777023316,1.201687302886962,0.5397078584976196,0.49846753612518324,0.43469890903282166,0.1654860779619216
Azerbaijan,84.6,5.22920004119873,1.073644353126526,1.03175005104065,0.6196531551818849,0.38054516765022284,0.04913186805534362,0.1757555014209748
Pakistan,79.0,5.344000010681151,0.667894706123352,0.6088301379127502,0.45575355662727357,0.229891052315712,0.2800012038345336,0.1157576133494378
Jordan,85.4,5.179599993133545,0.9097444788856505,1.1290337785873419,0.6736200116653441,0.407252229850769,0.13306409204483038,0.13194065443754202
Montenegro,81.4,5.291999997711182,1.0483778071899421,1.1051352996444699,0.725600934703827,0.1969398110790252,0.1568442048187256,0.10386883881950379
China,85.0,5.218999952697754,1.003417158111572,1.033679482376098,0.7971211001281737,0.5095755416088104,0.04944936820018292,0.056210854922652244
Zambia,114.0,4.584399987792968,0.5717613558578492,0.932381459754944,0.3027611789646148,0.46209869849967966,0.2184300289764404,0.09733671003007886
Romania,62.8,5.698399961853028,1.14176678226471,1.043000258094788,0.7362156624641418,0.4329607484912872,0.1141779835453034,0.004733580139786007
Serbia,78.8,5.339199996185302,1.000643515853882,1.1666239594802859,0.7167889342613221,0.22739310564994822,0.17816117676353457,0.038492756121873854
Portugal,82.8,5.304600034332276,1.23203105897522,1.2620126036682122,0.8695327083244324,0.5060850599212646,0.09024054250240325,0.01677189033734798
Latvia,63.4,5.676199980926514,1.185349724960328,1.27391698839569,0.697091394165039,0.3058755824890136,0.13535695721340177,0.07121254532957079
Philippines,76.8,5.387399965667724,0.7914378430824279,1.154569514976502,0.5379018109321595,0.5920409348945617,0.1794326846408844,0.11033837860536574
Morocco,88.0,5.172200026702879,0.8066969162216185,0.6761528870391846,0.650592133808136,0.3919056664218902,0.04129199103116991,0.08145263656377792
Albania,106.4,4.712600010681152,0.9386325506629944,0.7549310495796204,0.7876959493293763,0.37189772696304324,0.1678865888586044,0.043200843199968336
Bosnia and Herzegovina,88.8,5.161800032043457,0.9216938835258484,0.9844331875,0.7613312614860535,0.17679263538074502,0.2709674990119934,0.0016539999999999999
Dominican Republic,86.6,5.199400003814698,0.9999227673034661,1.282279341217042,0.6425627490882874,0.545379966747284,0.169933569946289,0.1174010506386756
Mongolia,95.6,5.02919998474121,0.941191173118592,1.3862882472381597,0.5914306968917845,0.3804247937641144,0.3008308460597992,0.03248245783638954
Greece,89.8,5.152400047302247,1.2054814962234501,1.056294914543152,0.8741237806167602,0.08578825018835068,0.0,0.035305955378294
Lebanon,91.0,5.149599980926514,1.0350615061416621,0.9948948495101921,0.7872522153244018,0.32179119700241077,0.2199841517391204,0.05538876595354081
